Container Name,Cpu %,Max Cpu %,Avg Memory %,Max Memory %
delay-insensitive-8c-32g,0.73,91.78,12.66,83.83
delay-insensitive-8c-32g,1.02,74.94,12.92,71.2
delay-insensitive-8c-32g,0.62,93.43,12.56,85.08
delay-insensitive-8c-32g,7.96,98.27,19.16,88.7
delay-insensitive-8c-32g,48.25,91.05,55.43,83.29
delay-insensitive-8c-32g,9.46,94.56,20.52,85.92
delay-insensitive-8c-32g,7.04,88.78,18.34,81.58
delay-insensitive-8c-32g,6.08,96.86,17.47,87.65
unknown-4c-32g,3.33,37.88,14.99,43.41
unknown-4c-32g,0.22,0.30,12.2,17.2
unknown-4c-32g,0.04,0.10,12.03,17.03
unknown-4c-32g,0.03,0.07,12.03,17.03
unknown-4c-32g,0.03,0.10,12.03,17.03
unknown-4c-32g,0.03,0.07,12.03,17.03
unknown-4c-32g,1.43,14.04,13.29,25.53
unknown-4c-32g,0.03,0.09,12.03,17.03
interactive-2c-4g,30.34,98.57,39.31,88.93
interactive-2c-4g,5.19,97.74,16.67,88.31
interactive-2c-4g,32.76,98.29,41.48,88.72
interactive-2c-4g,8.47,93.99,19.62,85.49
interactive-2c-4g,24.96,99.12,34.46,89.34
interactive-2c-4g,0.96,22.61,12.86,31.96
interactive-2c-4g,33.05,98.67,41.75,89
interactive-2c-4g,26.70,96.96,36.03,87.72
unknown-2c-4g,13.88,82.58,24.49,76.94
unknown-2c-4g,4.64,84.05,16.18,78.04
unknown-2c-4g,38.70,95.74,46.83,86.81
unknown-2c-4g,1.73,44.91,13.56,48.68
unknown-2c-4g,0.40,0.42,12.36,17.36
unknown-2c-4g,51.64,96.54,58.48,87.41
unknown-2c-4g,0.76,1.50,12.68,17.68
unknown-2c-4g,49.30,58.40,56.37,61.37
unknown-24c-64g,0.07,0.26,12.07,17.07
unknown-24c-64g,7.96,98.18,19.16,88.63
unknown-24c-64g,1.00,39.74,12.9,44.8
unknown-24c-64g,0.46,65.41,12.42,64.06
unknown-24c-64g,6.67,89.64,18.01,82.23
unknown-24c-64g,0.01,0.06,12.01,17.01
unknown-24c-64g,0.01,0.07,12.01,17.01
unknown-24c-64g,0.01,0.06,12.01,17.01
unknown-8c-32g,13.34,90.12,24,82.59
unknown-8c-32g,0.91,60.38,12.82,60.28
unknown-8c-32g,14.64,43.59,25.18,47.7
unknown-8c-32g,62.42,98.47,68.18,88.85
unknown-8c-32g,16.60,97.53,26.94,88.15
unknown-8c-32g,20.22,71.67,30.2,68.75
unknown-8c-32g,7.39,97.85,18.65,88.39
unknown-8c-32g,0.56,25.35,12.5,34.01
unknown-2c-8g,31.69,50.33,40.52,52.74
unknown-2c-8g,1.59,11.83,13.43,23.88
unknown-2c-8g,30.35,88.89,39.32,81.66
unknown-2c-8g,7.89,44.04,19.1,48.03
unknown-2c-8g,3.46,30.37,15.12,37.78
unknown-2c-8g,15.89,72.74,26.3,69.55
unknown-2c-8g,45.67,96.15,53.11,87.12
unknown-2c-8g,5.60,35.23,17.04,41.43
unknown-4c-8g,11.27,86.62,22.14,79.96
unknown-4c-8g,9.07,29.10,20.16,36.83
unknown-4c-8g,5.42,78.46,16.87,73.84
unknown-4c-8g,9.50,30.01,20.55,37.51
unknown-4c-8g,0.71,41.08,12.64,45.81
unknown-4c-8g,7.64,40.41,18.88,45.3
unknown-4c-8g,1.02,4.00,12.92,18
unknown-4c-8g,2.81,9.34,14.52,22
unknown-2c-2g,0.67,0.72,12.6,17.6
unknown-2c-2g,27.83,95.39,37.04,86.55
unknown-2c-2g,49.17,98.47,56.26,88.86
unknown-2c-2g,0.44,0.59,12.4,17.4
unknown-2c-2g,10.80,93.02,21.72,84.77
unknown-2c-2g,8.08,68.58,19.27,66.43
unknown-2c-2g,63.48,97.88,69.13,88.41
unknown-2c-2g,10.54,97.65,21.49,88.24
delay-insensitive-4c-8g,3.50,98.43,15.15,88.82
delay-insensitive-4c-8g,7.08,84.43,18.37,78.32
delay-insensitive-4c-8g,2.15,74.93,13.93,71.2
delay-insensitive-4c-8g,2.61,90.89,14.35,83.16
delay-insensitive-4c-8g,1.57,86.00,13.41,79.5
delay-insensitive-4c-8g,1.28,90.71,13.15,83.03
delay-insensitive-4c-8g,10.68,91.40,21.61,83.55
delay-insensitive-4c-8g,3.03,76.77,14.73,72.58
